id,title,director_id,length,trailer_url,mpaa_rating,release_date,imdb_votes,release_year,adult,backdrop_path,budget,overview,tmdb_popularity,poster_path,revenue,tagline,tmdb_vote_average,tmdb_vote_count,imdb_id,tmdb_id,created_at,updated_at,awards,metascore,imdb_rating,Actor1,Actor 2,Actor 3,Actor 4,Director,Writer,Writer2,Income,Genre,Genre2,Studio,Studio2,Language,Language2,Country,Country2
1,Toy Story (1995),,81,,G,1995-11-21 00:00:00 UTC,499,1995,false,/dji4Fm0gCDVb9DQQMRvAI8YNnTz.jpg,30000000,Woody the cowboy is young Andy’s favorite toy. Yet this changes when Andy get the new super toy Buzz Lightyear for his birthday. Now that Woody is no longer number one he plans his revenge on Buzz. Toy Story is a milestone in film history for being the first feature film to use entirely computer animation.,1,/agy8DheVu5zpQFbXfAdvYivF2FU.jpg,361958736,The adventure takes off!,7,1980,114709,862,2015-04-22 18:06:50 UTC,2015-04-22 18:24:15 UTC,Nominated for 3 Oscars. Another 20 wins & 13 nominations.,92,8,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,John Lasseter,John Lasseter ,Pete Docter ,1106.5291200000001,Adventure,Animation,Pixar Animation Studios,Walt Disney Pictures,English,NA,United States of America,NA
2,Jumanji (1995),,104,,PG,1995-12-15 00:00:00 UTC,170,1995,false,/52lVqTDhIeNTjT7EiJuovXgw6iE.jpg,65000000,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",1,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,262797249,Roll the dice and unleash the excitement!,6,466,113497,8844,2015-04-22 18:06:50 UTC,2015-04-22 18:24:15 UTC,4 wins & 8 nominations.,39,6,Robin Williams,Jonathan Hyde,Kirsten Dunst,Bradley Pierce,Joe Johnston,Jonathan Hensleigh ,Greg Taylor ,304.30346,Adventure,Children,TriStar Pictures,Interscope Communications,English,Français,United States of America,NA
4,Waiting to Exhale (1995),,127,,R,1995-12-22 00:00:00 UTC,6,1995,false,/g1JNKI49xbiAym0IrRqWu9Y2sX9.jpg,16000000,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",0,/21aTe5Cp6tayodcDrsEoF4gTh7.jpg,81452156,Friends are the people who let you be yourself... and never let you forget it.,6,9,114885,31357,2015-04-22 18:06:50 UTC,2015-04-22 18:24:15 UTC,8 wins & 8 nominations.,0,5,Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon,Forest Whitaker,Terry McMillan ,Terry McMillan ,409.075975,Comedy,Romance,Twentieth Century Fox Film Corporation,NA,English,NA,United States of America,NA
5,Father of the Bride Part II (1995),,106,,PG,1995-12-08 00:00:00 UTC,23,1995,false,/cZs50rEk4T13qWedon0uCnbYQzW.jpg,0,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",0,/e64sOI48hQXyru7naBFyssKFxVd.jpg,76578911,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,5,42,113041,11862,2015-04-22 18:06:50 UTC,2015-04-22 18:24:16 UTC,Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,49,5,Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,Charles Shyer,Albert Hackett ,Frances Goodrich ,0.0,Comedy,NA,Touchstone Pictures,Sandollar Productions,English,NA,United States of America,NA
6,Heat (1995),,171,,R,1995-12-15 00:00:00 UTC,372,1995,false,/7RRuRcGuWkZGuRyYugfXn0Fgrrr.jpg,60000000,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,1,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,187436818,A Los Angeles crime saga,7,509,113277,949,2015-04-22 18:06:50 UTC,2015-04-22 18:24:16 UTC,8 nominations.,76,8,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Michael Mann,Michael Mann,NA,212.39469666666668,Action,Crime,Warner Bros. Pictures,Regency Enterprises,English,Español,United States of America,NA
10,GoldenEye (1995),,130,,PG-13,1995-11-16 00:00:00 UTC,176,1995,false,/aneVpr70Uxoo6Nk2QpZnG6DwC9E.jpg,58000000,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,1,/qUsIUglvfAIEsRhcRLBKXj2ZvSP.jpg,352194034,"When the world is the target and the threat is real, you can still depend on one man.",6,418,113189,710,2015-04-22 18:06:50 UTC,2015-04-22 18:24:16 UTC,Nominated for 2 BAFTA Film Awards. Another 2 wins & 5 nominations.,65,7,Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Martin Campbell,Ian Fleming ,Michael France ,507.2310931034483,Adventure,Action,Metro-Goldwyn-Mayer,Eon Productions,English,Español,Switzerland,France
14,Nixon (1995),,192,,R,1995-12-22 00:00:00 UTC,22,1995,false,/j1pLMvLiXRyeeHyTZO79a4t3Qao.jpg,44000000,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying both the fate of the world on his shoulders while battling the self-destructive demands within. From his victorious presidential election to the shocking Watergate scandal that would seal his doom.",0,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,13681765,"",6,16,113987,10858,2015-04-22 18:06:50 UTC,2015-04-22 18:24:16 UTC,Nominated for 4 Oscars. Another 13 wins & 8 nominations.,66,7,Anthony Hopkins,Joan Allen,Powers Boothe,Ed Harris,Oliver Stone,Stephen J. Rivele,Christopher Wilkinson,-68.90507954545456,Drama,NA,Cinergi Pictures Entertainment,Hollywood Pictures,English,NA,United States of America,NA
15,Cutthroat Island (1995),,119,,PG-13,1995-12-22 00:00:00 UTC,19,1995,false,/v74MVDzuIwaEr7RUc8EVeqHMEhA.jpg,98000000,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",1,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,18517322,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,6,31,112760,1408,2015-04-22 18:06:50 UTC,2015-04-22 18:24:16 UTC,1 nomination.,0,5,Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,Renny Harlin,Michael Frost Beckner ,James Gorman ,-81.10477346938777,Adventure,Romance,Metro-Goldwyn-Mayer,Laurence Mark Productions,English,Latin,United States of America,France
16,Casino (1995),,178,,R,1995-11-22 00:00:00 UTC,279,1995,false,/vxhWZkSb7OUHRq0Xndt9jzVttdR.jpg,52000000,Master director Martin Scorsese depicts the sloping depth of a casino mafia boss’ fall. Filmed in a semi-documentary fashion; about the life of the gambling paradise Las Vegas and its dark mafia underbelly.,1,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,116112375,No one stays at the top forever.,7,330,112641,524,2015-04-22 18:06:50 UTC,2015-04-22 18:24:16 UTC,Nominated for 1 Oscar. Another 4 wins & 7 nominations.,73,8,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Martin Scorsese,Nicholas Pileggi ,Nicholas Pileggi ,123.29302884615385,Drama,Crime,Universal Pictures,Syalis DA,English,Français,United States of America,France
18,Four Rooms (1995),,98,,R,1995-12-25 00:00:00 UTC,68,1995,false,/3EqYpbGCE9S5GddU2K4cYzP5UmI.jpg,4000000,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,0,/zbwxBgGO9wtauX8dDfG16ZYZdn.jpg,4300000,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",6,127,113101,5,2015-04-22 18:06:50 UTC,2015-04-22 18:24:16 UTC,1 win & 1 nomination.,0,6,Sammi Davis,Amanda De Cadenet,Valeria Golino,Madonna,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino",Allison Anders,Alexandre Rockwell,7.5,Comedy,NA,Miramax Films,A Band Apart,English,NA,United States of America,NA
20,Money Train (1995),,103,,R,1995-11-21 00:00:00 UTC,29,1995,false,/dBavxNhbNZ8uJU9avHrqCCEKuii.jpg,60000000,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",0,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,35431113,"Get on, or GET OUT THE WAY!",5,47,113845,11517,2015-04-22 18:06:50 UTC,2015-04-22 18:24:16 UTC,1 nomination.,0,5,Wesley Snipes,Woody Harrelson,Jennifer Lopez,Robert Blake,Joseph Ruben,Doug Richardson ,Doug Richardson ,-40.948145000000004,Comedy,Drama,Columbia Pictures,NA,English,NA,United States of America,NA
21,Get Shorty (1995),,105,,R,1995-10-20 00:00:00 UTC,58,1995,false,/g1BfxcnplYEveGqS1ttfhdRBgbR.jpg,30250000,A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.,0,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,72021008,"The mob is tough, but it’s nothing like show business.",6,59,113161,8012,2015-04-22 18:06:50 UTC,2015-04-22 18:24:16 UTC,Won 1 Golden Globe. Another 6 wins & 12 nominations.,82,6,John Travolta,Gene Hackman,Rene Russo,Danny DeVito,Barry Sonnenfeld,Elmore Leonard ,Scott Frank ,138.08597685950411,Comedy,Crime,Metro-Goldwyn-Mayer,Jersey Films,English,NA,United States of America,NA
23,Assassins (1995),,132,,R,1995-10-06 00:00:00 UTC,55,1995,false,/uDnwgH9sFgTST9M06Y1TkBpRTDF.jpg,50000000,Robert Rath (Sylvester Stallone) is a seasoned hitman who just wants out of the business with no back talk...,0,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,30303072,"In the shadows of life, In the business of death, One man found a reason to live...",5,84,112401,9691,2015-04-22 18:06:50 UTC,2015-04-22 18:24:16 UTC,1 nomination.,0,6,Sylvester Stallone,Antonio Banderas,Julianne Moore,Anatoli Davydov,Richard Donner,Andy Wachowski ,Lana Wachowski ,-39.393856,Action,Crime,Warner Bros.,Donner/Shuler-Donner Productions,English,Español,United States of America,France
25,Leaving Las Vegas (1995),,112,,R,1995-10-27 00:00:00 UTC,85,1995,false,/dDTAbwvWJpHlblgjyPnKLQXOiHI.jpg,3600000,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",1,/aPD0aD4yVoiwrZjVCpUBdGa1C0j.jpg,49800000,I Love You... The Way You Are.,6,83,113627,451,2015-04-22 18:06:50 UTC,2015-04-22 18:24:16 UTC,Won 1 Oscar. Another 32 wins & 19 nominations.,82,7,Nicolas Cage,Elisabeth Shue,Julian Sands,Richard Lewis,Mike Figgis,John O'Brien ,Mike Figgis ,1283.3333333333335,Romance,Drama,United Artists,Intial Productions,English,NA,United States of America,NA
27,Now and Then (1995),,100,,PG-13,1995-10-20 00:00:00 UTC,19,1995,false,/dthtFNHGLgo360zpRKhKOWgZrRe.jpg,12000000,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",0,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,27400000,In every woman there is the girl she left behind.,5,14,114011,9263,2015-04-22 18:06:50 UTC,2015-04-22 18:24:16 UTC,1 nomination.,0,6,Christina Ricci,Rosie O'Donnell,Thora Birch,Melanie Griffith,Lesli Linka Glatter,I. Marlene King,NA,128.33333333333334,Children,Drama,New Line Cinema,NA,English,NA,United States of America,NA
