"id","title","lenght","MPAA rating","Release date","Budget","Revenue","IMDB ID","TMDB ID","Actor1","Actor2","Actor3","Actor4","Actor1rank","Actor2rank","Actor3rank","Actor4rank","Director","DirectorRank","Writer1","Writer2","Writer1Rank","Writer2Rank","Studio","StudioRank","Language","Genre","Country"
"1","Toy Story (1995)","81","G","1995-11-21 00:00:00 UTC","30000000","361958736","114709","862","Tom Hanks","Tim Allen","Don Rickles","Jim Varney","21","9","1","2","John Lasseter","5","John Lasseter","7","Pete Docter","5","Pixar Animation Studios","13","English","Adventure","United States of America"
"2","Jumanji (1995)","104","PG","1995-12-15 00:00:00 UTC","65000000","262797249","113497","8844","Robin Williams","Jonathan Hyde","Kirsten Dunst","Bradley Pierce","11","1","11","1","Joe Johnston","6","Jonathan Hensleigh","5","Greg Taylor","1","TriStar Pictures","36","English","Adventure","United States of America"
"4","Waiting to Exhale (1995)","127","R","1995-12-22 00:00:00 UTC","16000000","81452156","114885","31357","Whitney Houston","Angela Bassett","Loretta Devine","Lela Rochon","3","8","2","1","Forest Whitaker","1","Terry McMillan","4","Terry McMillan","4","Twentieth Century Fox Film Corporation","82","English","Comedy","United States of America"
"10","GoldenEye (1995)","130","PG-13","1995-11-16 00:00:00 UTC","58000000","352194034","113189","710","Pierce Brosnan","Sean Bean","Izabella Scorupco","Famke Janssen","11","9","3","6","Martin Campbell","7","Ian Fleming","2","Michael France","4","Metro-Goldwyn-Mayer","27","English","Adventure","Switzerland"
"14","Nixon (1995)","192","R","1995-12-22 00:00:00 UTC","44000000","13681765","113987","10858","Anthony Hopkins","Joan Allen","Powers Boothe","Ed Harris","17","4","2","11","Oliver Stone","9","Stephen J. Rivele","2","Christopher Wilkinson","1","Cinergi Pictures Entertainment","5","English","Drama","United States of America"
"15","Cutthroat Island (1995)","119","PG-13","1995-12-22 00:00:00 UTC","98000000","18517322","112760","1408","Geena Davis","Matthew Modine","Frank Langella","Maury Chaykin","5","2","3","2","Renny Harlin","10","Michael Frost Beckner","3","James Gorman","1","Metro-Goldwyn-Mayer","27","English","Adventure","United States of America"
"16","Casino (1995)","178","R","1995-11-22 00:00:00 UTC","52000000","116112375","112641","524","Robert De Niro","Sharon Stone","Joe Pesci","James Woods","28","6","7","4","Martin Scorsese","9","Nicholas Pileggi","4","Nicholas Pileggi","4","Universal Pictures","205","English","Drama","United States of America"
"18","Four Rooms (1995)","98","R","1995-12-25 00:00:00 UTC","4000000","4300000","113101","5","Sammi Davis","Amanda De Cadenet","Valeria Golino","Madonna","1","1","4","2","Allison Anders","1","Allison Anders","1","Alexandre Rockwell","1","Miramax Films","51","English","Comedy","United States of America"
"20","Money Train (1995)","103","R","1995-11-21 00:00:00 UTC","60000000","35431113","113845","11517","Wesley Snipes","Woody Harrelson","Jennifer Lopez","Robert Blake","8","11","9","1","Joseph Ruben","1","Doug Richardson","3","Doug Richardson","3","Columbia Pictures","108","English","Comedy","United States of America"
"21","Get Shorty (1995)","105","R","1995-10-20 00:00:00 UTC","30250000","72021008","113161","8012","John Travolta","Gene Hackman","Rene Russo","Danny DeVito","14","13","6","9","Barry Sonnenfeld","8","Elmore Leonard","4","Scott Frank","7","Metro-Goldwyn-Mayer","27","English","Comedy","United States of America"
"23","Assassins (1995)","132","R","1995-10-06 00:00:00 UTC","50000000","30303072","112401","9691","Sylvester Stallone","Antonio Banderas","Julianne Moore","Anatoli Davydov","19","8","16","1","Richard Donner","8","Andy Wachowski","8","Lana Wachowski","9","Warner Bros.","119","English","Action","United States of America"
"25","Leaving Las Vegas (1995)","112","R","1995-10-27 00:00:00 UTC","3600000","49800000","113627","451","Nicolas Cage","Elisabeth Shue","Julian Sands","Richard Lewis","24","2","2","2","Mike Figgis","1","John O'Brien","5","Mike Figgis","1","United Artists","28","English","Romance","United States of America"
